,0,1,2,3,4,mean_importance,nonzero_counts
LDTTRa,0.008333333333333304,-0.01666666666666663,0.018333333333333302,0.014999999999999968,0.024999999999999967,0.009999999999999983,5
det_pobj_deps_struct,0.0,-0.013333333333333319,0.019999999999999962,0.009999999999999953,0.033333333333333305,0.009999999999999981,4
PCSYNz,-0.00833333333333336,-0.0033333333333333214,0.01666666666666663,0.016666666666666607,0.023333333333333307,0.008999999999999972,5
MLS,0.0,0.0,0.0,0.0,0.02833333333333332,0.0056666666666666645,1
WRDFRQc,-0.006666666666666687,-0.006666666666666643,0.019999999999999973,0.014999999999999947,0.006666666666666654,0.005666666666666649,5
WRDFRQa,-0.006666666666666687,-0.006666666666666654,0.013333333333333298,0.011666666666666636,0.014999999999999968,0.005333333333333312,5
prep_nsubj_deps_struct,0.0,0.0,0.008333333333333304,0.011666666666666626,0.0,0.003999999999999985,2
PCVERBp,-0.005000000000000016,-0.0016666666666666607,0.006666666666666654,0.016666666666666607,0.0033333333333333214,0.003999999999999981,5
det_all_nominal_deps_struct,0.0,0.0,0.0033333333333333106,0.013333333333333286,0.0,0.0033333333333333192,2
PCVERBz,-0.005000000000000016,-0.0016666666666666607,0.004999999999999982,0.014999999999999947,0.0033333333333333214,0.0033333333333333145,5
PCREFz,0.0,0.0,0.0016666666666666607,0.0,0.011666666666666626,0.002666666666666657,2
DRINF,0.0,0.0,0.013333333333333286,0.0,0.0,0.002666666666666657,1
aux_per_cl,-0.0033333333333333435,-0.004999999999999982,0.009999999999999953,0.006666666666666643,0.0033333333333333214,0.0023333333333333188,5
SMCAUSlsa,0.0,-0.009999999999999964,0.0,0.0,0.018333333333333302,0.0016666666666666676,2
WRDFAMc,0.0,0.0,0.008333333333333304,0.0,0.0,0.0016666666666666607,1
DC_T,0.0,0.0,0.0,0.008333333333333304,0.0,0.0016666666666666607,1
WRDHYPv,0.0,-0.009999999999999964,0.011666666666666626,0.0066666666666666315,0.0,0.0016666666666666588,3
CT_T,0.0,0.0,0.006666666666666643,0.0,0.0,0.0013333333333333285,1
WRDPRP3p,0.0,0.0,0.006666666666666643,0.0,0.0,0.0013333333333333285,1
av_nsubj_pass_deps,0.0,0.0,0.0,0.0,0.006666666666666643,0.0013333333333333285,1
LDMTLD,-0.0033333333333333435,-0.006666666666666643,0.0016666666666666386,0.004999999999999982,0.009999999999999964,0.0013333333333333196,5
WRDPRO,-0.013333333333333374,0.0,0.008333333333333304,0.011666666666666626,0.0,0.001333333333333311,3
DRPVAL,0.0,0.0,0.004999999999999982,0.0,0.0,0.0009999999999999963,1
C_T,0.0,0.0,0.0,0.004999999999999982,0.0,0.0009999999999999963,1
conj_and_pobj_deps_struct,0.0,-0.0016666666666666607,0.0,0.006666666666666643,0.0,0.0009999999999999963,2
amod_all_nominal_deps_struct,0.0,0.0,0.0,0.0016666666666666607,0.0,0.00033333333333333213,1
CRFCWO1,0.0,0.0,0.0016666666666666607,0.0,0.0,0.00033333333333333213,1
WRDADJ,-0.0016666666666666718,0.0,0.0,0.0033333333333333214,0.0,0.0003333333333333299,2
dobj_per_cl,-0.006666666666666687,0.0,0.0,0.008333333333333304,0.0,0.00033333333333332335,2
det_nsubj_deps_struct,0.0,0.0,0.0,0.0,0.0,0.0,0
PCCONNp,0.0,0.0,0.0,0.0,0.0,0.0,0
SMINTEp,0.0,0.0,0.0,0.0,0.0,0.0,0
DRAP,0.0,0.0,0.0,0.0,0.0,0.0,0
CP_T,0.0,0.0,0.0,0.0,0.0,0.0,0
nsubj_pass_stdev,0.0,0.0,0.0,0.0,0.0,0.0,0
prep_pobj_deps_struct,0.0,0.0,0.0,0.0,0.0,0.0,0
CNCNeg,0.0,0.0,0.0,0.0,0.0,0.0,0
poss_pobj_deps_struct,0.0,0.0,0.0,0.0,0.0,0.0,0
SYNLE,0.0,0.0,0.0,0.0,0.0,0.0,0
PCCONNz,0.0,0.0,0.0,0.0,0.0,0.0,0
CNCTempx,0.0,0.0,0.0,0.0,0.0,0.0,0
av_nsubj_deps_NN,0.0,0.0,0.0,0.0,0.0,0.0,0
CNCTemp,0.0,0.0,0.0,0.0,0.0,0.0,0
det_dobj_deps_struct,0.0,0.0,0.0,0.0,0.0,0.0,0
DC_C,0.0,0.0,0.0,0.0,0.0,0.0,0
C_S,0.0,0.0,0.0,0.0,0.0,0.0,0
LDVOCD,0.0,0.0,0.0,0.0,0.0,0.0,0
det_nsubj_deps_NN_struct,0.0,0.0,0.0,0.0,0.0,0.0,0
LDTTRc,-0.00833333333333336,-0.004999999999999982,0.0033333333333333214,0.0,0.009999999999999964,-1.1102230246251566e-17,4
SYNSTRUTa,-0.0016666666666666718,0.0,0.0,0.0,0.0,-0.00033333333333333435,1
RDFRE,0.0,-0.008333333333333304,0.0,0.0,0.0033333333333333214,-0.0009999999999999963,2
nsubjpass_per_cl,0.0,-0.006666666666666643,-2.2204460492503132e-17,0.0,0.0,-0.001333333333333333,2
RDL2,-0.006666666666666687,-0.008333333333333304,-0.0016666666666666718,0.0033333333333333214,0.0016666666666666607,-0.002333333333333336,5
PCNARz,-0.006666666666666687,-0.018333333333333302,0.006666666666666643,0.0033333333333333214,0.0,-0.0030000000000000044,4
auxpass_per_cl,0.0,-0.01499999999999998,0.004999999999999982,-0.013333333333333353,0.004999999999999982,-0.0036666666666666735,4
PCNARp,-0.006666666666666687,-0.018333333333333302,0.006666666666666643,-0.0016666666666666718,0.0,-0.004000000000000003,4
