filename,nwords,cl_av_deps,cl_ndeps_std_dev,acomp_per_cl,advcl_per_cl,agent_per_cl,cc_per_cl,ccomp_per_cl,conj_per_cl,csubj_per_cl,csubjpass_per_cl,dep_per_cl,discourse_per_cl,dobj_per_cl,expl_per_cl,iobj_per_cl,mark_per_cl,ncomp_per_cl,neg_per_cl,nsubj_per_cl,nsubjpass_per_cl,parataxis_per_cl,pcomp_per_cl,prep_per_cl,prepc_per_cl,prt_per_cl,tmod_per_cl,xcomp_per_cl,xsubj_per_cl,advmod_per_cl,aux_per_cl,auxpass_per_cl,modal_per_cl
Human_001.txt,171,3.2,1.166190379,0,0,0,0,0.0666666666667,0.133333333,0,0,0,0,1,0,0,0.0666666666667,0.0666666666667,0,0.666666667,0.133333333,0,0,0.666666667,0,0,0,0.0666666666667,0,0.266666667,0.0666666666667,0.133333333,0.0666666666667
Human_002.txt,118,1.933333333,0.77172246,0.0666666666667,0,0,0,0.0666666666667,0,0,0,0,0,0.466666667,0,0,0.0666666666667,0,0,0.533333333,0.0666666666667,0,0,0.333333333,0.133333333,0,0,0.0666666666667,0,0.0666666666667,0.133333333,0.0666666666667,0
Human_003.txt,184,2.578947368,1.22756882,0,0.105263158,0,0,0.157894737,0.105263158,0,0,0.105263158,0,0.578947368,0,0,0.157894737,0,0,0.684210526,0.0526315789474,0,0,0.210526316,0.0526315789474,0,0,0.0526315789474,0,0.315789474,0.105263158,0.0526315789474,0.105263158
Human_004.txt,186,2.111111111,1.14934227,0,0.0555555555556,0,0,0,0.0555555555556,0,0,0.111111111,0,0.722222222,0,0,0,0,0,0.388888889,0,0,0,0.388888889,0,0.0555555555556,0,0.166666667,0,0.111111111,0.277777778,0,0.0555555555556
Human_005.txt,174,2.933333333,1.181336343,0,0.0666666666667,0.0666666666667,0,0.266666667,0.0666666666667,0,0,0.0666666666667,0,0.933333333,0,0,0,0,0,0.6,0.0666666666667,0,0,0.466666667,0,0,0,0,0,0.333333333,0.133333333,0.0666666666667,0.133333333
Human_006.txt,184,2.866666667,1.087300429,0.0666666666667,0,0.0666666666667,0,0.133333333,0.133333333,0,0,0,0,0.533333333,0,0,0.0666666666667,0,0,0.8,0.2,0,0,0.6,0,0,0,0.0666666666667,0,0.2,0,0.2,0
Human_007.txt,184,2.866666667,1.087300429,0.0666666666667,0,0.0666666666667,0,0.133333333,0.133333333,0,0,0,0,0.533333333,0,0,0.0666666666667,0,0,0.8,0.2,0,0,0.6,0,0,0,0.0666666666667,0,0.2,0,0.2,0
Human_008.txt,181,2.473684211,1.271899576,0.0526315789474,0.0526315789474,0,0,0.105263158,0.157894737,0,0.0526315789474,0.0526315789474,0,0.736842105,0,0,0,0,0.0526315789474,0.421052632,0.105263158,0,0,0.368421053,0,0,0,0.157894737,0,0.105263158,0.368421053,0.157894737,0
Human_009.txt,172,2.523809524,1.295378144,0.142857143,0.0952380952381,0,0,0.238095238,0.047619048,0,0,0,0,0.476190476,0.047619048,0,0.0952380952381,0,0,0.619047619,0,0,0,0.380952381,0.142857143,0,0,0.047619048,0,0.142857143,0.142857143,0,0
Human_010.txt,121,2.125,1.165922382,0.0625,0,0,0,0,0.0625,0.125,0,0,0,0.3125,0,0,0,0.0625,0.0625,0.5,0,0,0,0.75,0,0,0,0.125,0,0.0625,0.1875,0,0.125
