TextID,DESPC,DESSC,DESWC,DESPL,DESPLd,DESSL,DESSLd,DESWLsy,DESWLsyd,DESWLlt,DESWLltd,PCNARz,PCNARp,PCSYNz,PCSYNp,PCCNCz,PCCNCp,PCREFz,PCREFp,PCDCz,PCDCp,PCVERBz,PCVERBp,PCCONNz,PCCONNp,PCTEMPz,PCTEMPp,CRFNO1,CRFAO1,CRFSO1,CRFNOa,CRFAOa,CRFSOa,CRFCWO1,CRFCWO1d,CRFCWOa,CRFCWOad,CRFANP1,CRFANPa,LSASS1,LSASS1d,LSASSp,LSASSpd,LSAPP1,LSAPP1d,LSAGN,LSAGNd,LDTTRc,LDTTRa,LDMTLD,LDVOCD,CNCAll,CNCCaus,CNCLogic,CNCADC,CNCTemp,CNCTempx,CNCAdd,CNCPos,CNCNeg,SMCAUSv,SMCAUSvp,SMINTEp,SMCAUSr,SMINTEr,SMCAUSlsa,SMCAUSwn,SMTEMP,SYNLE,SYNNP,SYNMEDpos,SYNMEDwrd,SYNMEDlem,SYNSTRUTa,SYNSTRUTt,DRNP,DRVP,DRAP,DRPP,DRPVAL,DRNEG,DRGERUND,DRINF,WRDNOUN,WRDVERB,WRDADJ,WRDADV,WRDPRO,WRDPRP1s,WRDPRP1p,WRDPRP2,WRDPRP3s,WRDPRP3p,WRDFRQc,WRDFRQa,WRDFRQmc,WRDAOAc,WRDFAMc,WRDCNCc,WRDIMGc,WRDMEAc,WRDPOLc,WRDHYPn,WRDHYPv,WRDHYPnv,RDFRE,RDFKGL,RDL2
\\Mac\Home\Desktop\语料处理+代码\TAASSC_Input_AI_Short\AI_019.txt,1,5,131,5,0,26.3999996185303,5.77099990844727,2.28200006484985,1.29700005054474,6.72499990463257,3.40100002288818,-2.04099988937378,2.0699999332428,-0.564000010490417,28.7700004577637,0.690999984741211,75.4899978637695,-0.0549999997019768,48.0099983215332,-0.10700000077486,46.0200004577637,-4.11600017547607,0,-3.36400008201599,0.0399999991059303,1.12199997901917,86.8600006103516,1,1,1,0.800000011920929,0.800000011920929,0.800000011920929,0.125,0.0489999987185001,0.105999998748302,0.0670000016689301,0,0,0.418000012636185,0.0890000015497208,0.409999996423721,0.112000003457069,0,0,0.312999993562698,0.180999994277954,0.865000009536743,0.735000014305115,139.391998291016,130.503005981445,106.870002746582,22.9009990692139,30.5340003967285,15.2670001983643,15.2670001983643,15.2670001983643,68.7020034790039,91.6029968261719,15.2670001983643,22.9009990692139,22.9009990692139,22.9009990692139,0,0.75,0.025000000372529,0.333000004291534,1,3.59999990463257,0.973999977111816,0.51800000667572,0.861999988555908,0.852999985218048,0.157000005245209,0.101999998092651,442.747985839844,106.870002746582,15.2670001983643,137.404998779297,0,0,22.9009990692139,0,404.579986572266,83.9700012207031,145.039001464844,15.2670001983643,0,0,0,0,0,0,1.53199994564056,2.38000011444092,0,429.789001464844,525.939025878906,374.226013183594,401.484985351563,425.230987548828,2.96600008010864,7.01599979400635,2.33599996566772,2.78399991989136,0,21.5559997558594,5.13899993896484
\\Mac\Home\Desktop\语料处理+代码\TAASSC_Input_AI_Short\AI_031.txt,1,7,154,7,0,22.5709991455078,4.96199989318848,2.12299990653992,1.20099997520447,6.33799982070923,3.30399990081787,-1.89999997615814,2.86999988555908,0.352999985218048,63.6800003051758,0.625999987125397,73.2399978637695,-0.777999997138977,22.0599994659424,0.412999987602234,65.9100036621094,-2.93400001525879,0.170000001788139,-2.86400008201599,0.209999993443489,0.953999996185303,82.8899993896484,0.333000004291534,0.333000004291534,0.666999995708466,0.476000010967255,0.476000010967255,0.71399998664856,0.0529999993741512,0.0670000016689301,0.0729999989271164,0.0719999969005585,0,0,0.42399999499321,0.116999998688698,0.388999998569489,0.0829999968409538,0,0,0.328000009059906,0.159999996423721,0.873000025749207,0.671000003814697,96.4739990234375,83.3990020751953,110.389999389648,38.9609985351563,32.4679985046387,0,6.49399995803833,32.4679985046387,71.4290008544922,116.883003234863,0,32.4679985046387,32.4679985046387,19.4810009002686,0,1.5,0.0320000015199184,0.400000005960464,0.916999995708466,2.85700011253357,1.15400004386902,0.556999981403351,0.871999979019165,0.846000015735626,0.0839999988675117,0.0920000001788139,389.609985351563,168.830993652344,12.9870004653931,129.869995117188,12.9870004653931,0,38.9609985351563,12.9870004653931,344.156005859375,149.350997924805,129.869995117188,32.4679985046387,12.9870004653931,0,0,0,0,6.49399995803833,1.59099996089935,2.6340000629425,0.600000023841858,421.5,537.213989257813,415.0830078125,411.851989746094,438.571014404297,2.87299990653992,6.76800012588501,1.96200001239777,2.55900001525879,4.89900016784668,18.0410003662109,-1.78999996185303
\\Mac\Home\Desktop\语料处理+代码\TAASSC_Input_AI_Short\AI_025.txt,1,7,129,7,0,19.1429996490479,3.6710000038147,2.28699994087219,1.442999958992,6.7519998550415,3.60599994659424,-1.97099995613098,2.44000005722046,0.24600000679493,59.4799995422363,-0.437999993562698,33.3600006103516,-2.09400010108948,1.83000004291534,-0.289000004529953,38.5900001525879,-2.25799989700317,1.22000002861023,-3.23499989509583,0.0599999986588955,1.38900005817413,91.620002746582,0.166999995708466,0.333000004291534,0.5,0.189999997615814,0.28600001335144,0.523999989032745,0.0799999982118607,0.0670000016689301,0.0520000010728836,0.061999998986721,0.166999995708466,0.0480000004172325,0.208000004291534,0.0979999974370003,0.216999992728233,0.108999997377396,0,0,0.236000001430511,0.136000007390976,0.889999985694885,0.745999991893768,147.873001098633,139.220001220703,93.0230026245117,23.2560005187988,31.007999420166,7.7519998550415,7.7519998550415,15.503999710083,69.7669982910156,93.0230026245117,7.7519998550415,46.5120010375977,54.2639999389648,31.007999420166,0.14300000667572,0.400000005960464,0.0640000030398369,0.34799998998642,1,2.71399998664856,1.11099994182587,0.546000003814697,0.907999992370605,0.88400000333786,0.0689999982714653,0.0759999975562096,410.852996826172,162.791000366211,23.2560005187988,100.775001525879,7.7519998550415,0,23.2560005187988,7.7519998550415,325.580993652344,131.783996582031,193.798004150391,31.007999420166,23.2560005187988,0,0,0,0,15.503999710083,1.76300001144409,2.60400009155273,0,408.230987548828,558.885009765625,364.200012207031,381.462005615234,431.881988525391,2.9300000667572,6.40100002288818,1.70700001716614,2.16799998283386,0,18.5839996337891,2.52900004386902
\\Mac\Home\Desktop\语料处理+代码\TAASSC_Input_AI_Short\AI_145.txt,1,6,135,6,0,23.8330001831055,7.59999990463257,2.2590000629425,1.26900005340576,6.66699981689453,3.44000005722046,-2.29299998283386,1.10000002384186,-0.252000004053116,40.1300010681152,-0.453999996185303,32.6399993896484,-0.811999976634979,20.8999996185303,-1.23099994659424,10.9300003051758,-2.31900000572205,1.01999998092651,-0.202999994158745,42.0699996948242,-1.9650000333786,2.5,0.600000023841858,0.800000011920929,0.800000011920929,0.467000007629395,0.532999992370605,0.800000011920929,0.105999998748302,0.118000000715256,0.0869999974966049,0.0829999968409538,0,0,0.287999987602234,0.112999998033047,0.243000000715256,0.090999998152256,0,0,0.230000004172325,0.136999994516373,0.824000000953674,0.663999974727631,119.323997497559,114.259002685547,51.8520011901855,7.40700006484985,14.8149995803833,0,22.2220001220703,0,29.6299991607666,59.2589988708496,0,37.0369987487793,44.4440002441406,22.2220001220703,0.166999995708466,0,0.0329999998211861,0.425999999046326,0.699999988079071,3.5,1.61800003051758,0.529999971389771,0.888999998569489,0.860000014305115,0.0759999975562096,0.090999998152256,340.740997314453,155.555999755859,7.40700006484985,81.4810028076172,7.40700006484985,7.40700006484985,29.6299991607666,7.40700006484985,370.369995117188,118.518997192383,237.037002563477,14.8140001296997,7.40700006484985,0,0,0,0,7.40700006484985,1.73099994659424,2.44099998474121,0,410.266998291016,557.393981933594,354.213989257813,379.515014648438,430.375,3.36299991607666,6.18699979782104,2.59299993515015,2.67300009727478,0,19.8409996032715,3.59400010108948
\\Mac\Home\Desktop\语料处理+代码\TAASSC_Input_AI_Short\AI_150.txt,1,7,168,7,0,25.2859992980957,9.96199989318848,2.13100004196167,1.39999997615814,6.43499994277954,3.77800011634827,-1.09700000286102,13.789999961853,0.0209999997168779,50.7999992370605,-0.637000024318695,26.4300003051758,1.97800004482269,97.5599975585938,-0.954999983310699,17.1100006103516,-3.2039999961853,0.0700000002980232,-2.19700002670288,1.42999994754791,-1.32700002193451,9.34000015258789,1,1,1,0.952000021934509,0.952000021934509,0.952000021934509,0.246999993920326,0.0689999982714653,0.238000005483627,0.130999997258186,0.166999995708466,0.0480000004172325,0.456999987363815,0.0640000030398369,0.442999988794327,0.149000003933907,0,0,0.379999995231628,0.177000001072884,0.652999997138977,0.541999995708466,67.2939987182617,62.560001373291,89.286003112793,11.9049997329712,17.8570003509521,0,23.8099994659424,5.9520001411438,65.4759979248047,95.2379989624023,0,35.7140007019043,41.6669998168945,23.8099994659424,0.14300000667572,0.200000002980232,0.0529999993741512,0.395000010728836,0.75,2,1.08299994468689,0.629000008106232,0.860000014305115,0.860000014305115,0.0879999995231628,0.0869999974966049,392.856994628906,136.904998779297,5.9520001411438,95.2379989624023,5.9520001411438,0,41.6669998168945,0,434.523986816406,113.096000671387,113.095001220703,29.7609996795654,5.9520001411438,0,0,0,0,0,1.83500003814697,2.64599990844727,0,422.5,553.72900390625,332.286010742188,376.89599609375,401,3.10999989509583,5.69299983978271,2.00799989700317,2.56900000572205,2.19199991226196,18.9160003662109,13.9989995956421
\\Mac\Home\Desktop\语料处理+代码\TAASSC_Input_AI_Short\AI_144.txt,1,6,139,6,0,24.3330001831055,6.68300008773804,2.02900004386902,1.2150000333786,6.41699981689453,3.26099991798401,-1.62800002098084,5.26000022888184,-0.372999995946884,35.5699996948242,0.296000003814697,61.4099998474121,0.303000003099442,61.7900009155273,-0.912999987602234,18.1399993896484,-3.48399996757507,0.0299999993294477,-2.93400001525879,0.170000001788139,-1.86099994182587,3.14000010490417,0.800000011920929,1,1,0.732999980449677,1,1,0.0920000001788139,0.0759999975562096,0.0949999988079071,0.0769999995827675,0,0,0.375,0.108000002801418,0.351000010967255,0.0989999994635582,0,0,0.296999990940094,0.164000004529953,0.819000005722046,0.685000002384186,101.704002380371,105.473999023438,93.5250015258789,21.5830001831055,14.3879995346069,0,7.19399976730347,0,71.9420013427734,100.71900177002,0,35.9710006713867,57.5540008544922,21.5830001831055,0.5,0,0.0379999987781048,0.324000000953674,0.699999988079071,2,1.37100005149841,0.586000025272369,0.890999972820282,0.864000022411346,0.0810000002384186,0.0970000028610229,352.518005371094,165.468002319336,21.5830001831055,122.302001953125,7.19399976730347,0,21.5830001831055,0,366.906005859375,122.302001953125,151.078994750977,28.7770004272461,0,0,0,0,0,0,1.82599997520447,2.55100011825562,0,453.6669921875,542.627990722656,357.609985351563,386.070007324219,443.0830078125,2.85899996757507,6.55100011825562,1.73199999332428,2.54699993133545,11.6669998168945,17.386999130249,5.29500007629395
\\Mac\Home\Desktop\语料处理+代码\TAASSC_Input_AI_Short\AI_024.txt,1,6,134,6,0,22.5,4.84800004959106,2.30599999427795,1.31599998474121,6.8730001449585,3.65100002288818,-1.7059999704361,4.46000003814697,-0.518999993801117,30.1499996185303,0.754999995231628,77.3399963378906,-0.554000020027161,29.1200008392334,0.720000028610229,76.1100006103516,-3.51300001144409,0,-2.38299989700317,0.870000004768372,1.11699998378754,86.6500015258789,0.800000011920929,0.800000011920929,1,0.732999980449677,0.800000011920929,1,0.0670000016689301,0.00800000037997961,0.0769999995827675,0.0379999987781048,0.400000005960464,0.133000001311302,0.435999989509583,0.0570000000298023,0.405000001192093,0.0579999983310699,0,0,0.314999997615814,0.165999993681908,0.899999976158142,0.748000025749207,150.087997436523,122.404998779297,119.40299987793,29.8509998321533,29.8509998321533,0,29.8509998321533,22.3880004882813,67.1640014648438,119.40299987793,0,22.3880004882813,22.3880004882813,37.3129997253418,0,0.666999995708466,0.0299999993294477,0.575999975204468,1,4.33300018310547,1.05299997329712,0.541999995708466,0.898999989032745,0.898999989032745,0.119999997317791,0.105999998748302,388.059997558594,156.716003417969,29.8509998321533,126.865997314453,0,0,44.7760009765625,7.46299982070923,305.970001220703,126.865997314453,156.716003417969,52.2389984130859,29.8509998321533,0,0,0,0,7.46299982070923,1.51199996471405,2.40599989891052,0.300000011920929,444.6669921875,538.432006835938,361.324005126953,388.730010986328,462.68798828125,3.09699988365173,7.17500019073486,3.4300000667572,2.52600002288818,0,20.3309993743896,-0.600000023841858
\\Mac\Home\Desktop\语料处理+代码\TAASSC_Input_AI_Short\AI_030.txt,1,6,138,6,0,23.6669998168945,6.21799993515015,2.21000003814697,1.32099997997284,6.44199991226196,3.33500003814697,-1.43700003623962,7.6399998664856,-0.689999997615814,24.5100002288818,0.293999999761581,61.4099998474121,-0.705999970436096,24.2000007629395,-1.40400004386902,8.07999992370605,-2.6489999294281,0.400000005960464,-1.50800001621246,6.67999982833862,-0.773000001907349,22.0599994659424,0.400000005960464,0.600000023841858,0.800000011920929,0.532999992370605,0.732999980449677,0.800000011920929,0.0419999994337559,0.0570000000298023,0.0750000029802322,0.0799999982118607,0,0,0.277999997138977,0.0430000014603138,0.30799999833107,0.127000004053116,0,0,0.272000014781952,0.158999994397163,0.861999988555908,0.683000028133392,122.167999267578,105.936996459961,57.9710006713867,14.4930000305176,14.4930000305176,7.24599981307983,7.24599981307983,7.24599981307983,43.4780006408691,57.9710006713867,0,28.9860000610352,28.9860000610352,21.7390003204346,0,0.5,0.017000000923872,0.43299999833107,0.800000011920929,5,1.08599996566772,0.566999971866608,0.890999972820282,0.874000012874603,0.0869999974966049,0.0939999967813492,369.565002441406,173.912994384766,14.4930000305176,101.448997497559,0,7.24599981307983,28.9860000610352,14.4930000305176,347.826995849609,108.696998596191,137.680999755859,50.7239990234375,7.24599981307983,0,0,0,0,7.24599981307983,1.8289999961853,2.61800003051758,0,385.450012207031,554.684020996094,389.028991699219,410.053009033203,435.640014648438,3.08100008964539,6.66400003433228,2.21799993515015,2.47399997711182,0,19.4580001831055,3.10899996757507
\\Mac\Home\Desktop\语料处理+代码\TAASSC_Input_AI_Short\AI_018.txt,1,5,110,5,0,22.2000007629395,6.22100019454956,2.51799988746643,1.53100001811981,7.15500020980835,3.8840000629425,-2.21600008010864,1.36000001430511,0.300000011920929,61.4099998474121,0.497999995946884,68.7900009155273,-2.06900000572205,1.91999995708466,0.130999997258186,55.1699981689453,-2.26200008392334,1.19000005722046,-2.70900011062622,0.340000003576279,1.70200002193451,95.5400009155273,0,0,0.25,0.300000011920929,0.300000011920929,0.5,0.0189999993890524,0.0370000004768372,0.0520000010728836,0.0719999969005585,0.25,0.100000001490116,0.331999987363815,0.194000005722046,0.291999995708466,0.172999992966652,0,0,0.259999990463257,0.175999999046326,0.931999981403351,0.757000029087067,127.773002624512,103.555000305176,118.181999206543,45.4550018310547,18.181999206543,0,0,18.181999206543,72.7269973754883,118.181999206543,0,27.2730007171631,27.2730007171631,45.4550018310547,0,0.833000004291534,0.0270000007003546,0.544000029563904,1,5.19999980926514,1.09399998188019,0.550999999046326,0.888000011444092,0.888000011444092,0.133000001311302,0.136999994516373,409.091003417969,136.363998413086,9.09099960327148,154.544998168945,0,0,54.5449981689453,0,363.636993408203,154.544998168945,127.273002624512,18.181999206543,9.09099960327148,0,0,0,0,0,1.73199999332428,2.69099998474121,0,399.43798828125,540.322998046875,380.184997558594,408.709991455078,460.066986083984,2.7720000743866,6.51100015640259,3.15400004386902,2.47300004959106,0,22.7019996643066,2.57699990272522
\\Mac\Home\Desktop\语料处理+代码\TAASSC_Input_AI_Short\AI_026.txt,1,6,131,6,0,22.3330001831055,5.57399988174438,2.24399995803833,1.33599996566772,6.52699995040894,3.6470000743866,-1.83800005912781,3.35999989509583,-0.0540000014007092,48.0099983215332,-0.899999976158142,18.4099998474121,-1.67200005054474,4.75,-1.19400000572205,11.6999998092651,-3.41199994087219,0.0299999993294477,-3.38299989700317,0.0399999991059303,1.70899999141693,95.5400009155273,0.200000002980232,0.200000002980232,0.400000005960464,0.333000004291534,0.532999992370605,0.600000023841858,0.017000000923872,0.0370000004768372,0.0410000011324883,0.0509999990463257,0.200000002980232,0.0670000016689301,0.377000004053116,0.0329999998211861,0.368999987840652,0.0820000022649765,0,0,0.300000011920929,0.160999998450279,0.929000020027161,0.745999991893768,147.873001098633,115.929000854492,91.6029968261719,15.2670001983643,15.2670001983643,15.2670001983643,7.63399982452393,0,68.7020034790039,83.9690017700195,7.63399982452393,30.5340003967285,30.5340003967285,22.9009990692139,0,0.5,0.0299999993294477,0.377000004053116,1,5.16699981689453,1.02900004386902,0.592000007629395,0.883000016212463,0.869000017642975,0.138999998569489,0.114000000059605,328.243988037109,190.839996337891,15.2670001983643,145.037994384766,7.63399982452393,7.63399982452393,38.1679992675781,15.2670001983643,305.342987060547,145.039001464844,145.037994384766,30.5340003967285,7.63399982452393,0,0,0,0,0,1.60099995136261,2.51900005340576,0,400.875,534.528991699219,359.367004394531,372.406005859375,400.411987304688,3.12100005149841,6.14400005340576,1.74899995326996,2.04099988937378,0,19.4039993286133,-0.0780000016093254
