filename,nwords,advcl_per_cl,ccomp_per_cl
Human_001.txt,171,0,0.0666666666667
Human_002.txt,118,0,0.0666666666667
Human_003.txt,184,0.105263158,0.157894737
Human_004.txt,186,0.0555555555556,0
Human_005.txt,174,0.0666666666667,0.266666667
Human_006.txt,184,0,0.133333333
Human_007.txt,184,0,0.133333333
Human_008.txt,181,0.0526315789474,0.105263158
Human_009.txt,172,0.0952380952381,0.238095238
Human_010.txt,121,0,0
Human_011.txt,110,0,0
Human_012.txt,177,0.117647059,0.0588235294118
Human_013.txt,172,0,0
Human_014.txt,180,0,0.047619048
Human_015.txt,161,0.0869565217391,0.173913043
Human_016.txt,169,0,0.047619048
Human_017.txt,108,0,0.111111111
Human_018.txt,174,0.0588235294118,0
Human_019.txt,181,0,0.238095238
Human_020.txt,127,0.0909090909091,0.0909090909091
Human_021.txt,181,0,0.210526316
Human_022.txt,162,0.0625,0.125
Human_023.txt,164,0,0.111111111
Human_024.txt,137,0.0588235294118,0.117647059
Human_025.txt,167,0,0.0555555555556
Human_026.txt,155,0.0588235294118,0.176470588
Human_027.txt,188,0,0.1875
Human_028.txt,168,0.173913043,0.0869565217391
Human_029.txt,182,0,0.0526315789474
Human_030.txt,161,0,0.384615385
Human_031.txt,146,0.142857143,0
Human_032.txt,170,0.0555555555556,0.111111111
Human_033.txt,168,0,0.357142857
Human_034.txt,202,0.0333333333333,0
Human_035.txt,197,0.157894737,0.157894737
Human_036.txt,201,0,0.136363636
Human_037.txt,219,0.125,0.125
Human_038.txt,165,0,0.210526316
Human_039.txt,177,0.142857143,0.047619048
Human_040.txt,168,0.0740740740741,0.148148148
Human_041.txt,211,0.0689655172414,0.0689655172414
Human_042.txt,203,0.04,0.04
Human_043.txt,161,0,0.05
Human_044.txt,193,0,0.294117647
Human_045.txt,152,0,0.111111111
Human_046.txt,205,0.0869565217391,0
Human_047.txt,311,0.047619048,0
Human_048.txt,189,0,0.0714285714286
Human_049.txt,175,0.0666666666667,0.0666666666667
Human_050.txt,158,0.0555555555556,0.333333333
Human_051.txt,204,0.047619048,0
Human_052.txt,185,0,0.176470588
Human_053.txt,154,0,0.235294118
Human_054.txt,202,0,0.210526316
Human_055.txt,196,0.0909090909091,0.0909090909091
Human_056.txt,201,0.0666666666667,0
Human_057.txt,208,0,0.0434782608696
Human_058.txt,201,0.115384615,0
Human_059.txt,200,0.08,0.24
Human_060.txt,213,0,0.166666667
Human_061.txt,180,0.0625,0
Human_062.txt,183,0,0.166666667
Human_063.txt,245,0.04,0.08
Human_064.txt,208,0.0357142857143,0.0714285714286
Human_065.txt,192,0,0.0555555555556
Human_066.txt,192,0.1,0.1
Human_067.txt,187,0.142857143,0.142857143
Human_068.txt,203,0.037037037,0.148148148
Human_069.txt,188,0,0.105263158
Human_070.txt,166,0,0
Human_071.txt,210,0.0769230769231,0.153846154
Human_072.txt,199,0.0588235294118,0.235294118
Human_073.txt,162,0.0555555555556,0.111111111
Human_074.txt,202,0.0833333333333,0.125
Human_075.txt,172,0,0
Human_076.txt,145,0,0.2
Human_077.txt,180,0.0625,0.1875
Human_078.txt,202,0.0384615384615,0
Human_079.txt,193,0,0.157894737
Human_080.txt,180,0.111111111,0.111111111
Human_081.txt,181,0.1,0.1
Human_082.txt,188,0.0909090909091,0.136363636
Human_083.txt,198,0.0526315789474,0
Human_084.txt,198,0,0.136363636
Human_085.txt,173,0,0
Human_086.txt,198,0.0322580645161,0.129032258
Human_087.txt,180,0,0.0526315789474
Human_088.txt,172,0.0625,0
Human_089.txt,167,0,0.111111111
Human_090.txt,146,0.05,0.15
Human_091.txt,178,0,0.0625
Human_092.txt,199,0.0833333333333,0.208333333
Human_093.txt,171,0,0.1
Human_094.txt,196,0.0769230769231,0.115384615
Human_095.txt,200,0.105263158,0
Human_096.txt,191,0.111111111,0
Human_097.txt,137,0,0
Human_098.txt,194,0.103448276,0.172413793
Human_099.txt,177,0.0526315789474,0.157894737
Human_100.txt,202,0,0.05
Human_101.txt,168,0.0714285714286,0.0714285714286
Human_102.txt,200,0,0.0869565217391
Human_103.txt,197,0.0322580645161,0.193548387
Human_104.txt,195,0.027027027,0.0540540540541
Human_105.txt,200,0,0.0454545454545
Human_106.txt,152,0,0
Human_107.txt,239,0.0333333333333,0.0333333333333
Human_108.txt,169,0,0.0588235294118
Human_109.txt,206,0,0.103448276
Human_110.txt,184,0.0416666666667,0.0416666666667
Human_111.txt,127,0.0769230769231,0.153846154
Human_112.txt,187,0.0384615384615,0.115384615
Human_113.txt,168,0,0.176470588
Human_114.txt,188,0,0.0833333333333
Human_115.txt,195,0.037037037,0
Human_116.txt,186,0.0952380952381,0.047619048
