filename,nwords,poss_all_nominal_deps_struct,vmod_all_nominal_deps_struct,det_all_nominal_deps_NN_struct,amod_all_nominal_deps_NN_struct,prep_all_nominal_deps_NN_struct,nn_all_nominal_deps_NN_struct,rcmod_all_nominal_deps_NN_struct
Human_001.txt,171,0.0357142857143,0.0178571428571,0.178571429,0.303571429,0.267857143,0.142857143,0.0178571428571
Human_002.txt,118,0.0540540540541,0.027027027,0.277777778,0.472222222,0.333333333,0.111111111,0.0833333333333
Human_003.txt,184,0,0.037037037,0.288461538,0.442307692,0.25,0.269230769,0.0384615384615
Human_004.txt,186,0.0392156862745,0.0588235294118,0.367346939,0.244897959,0.367346939,0.285714286,0.0204081632653
Human_005.txt,174,0.0192307692308,0.0576923076923,0.145833333,0.416666667,0.375,0.166666667,0
Human_006.txt,184,0.0178571428571,0,0.37037037,0.407407407,0.37037037,0.166666667,0.037037037
Human_007.txt,184,0.0178571428571,0,0.37037037,0.407407407,0.37037037,0.166666667,0.037037037
Human_008.txt,181,0.1,0.05,0.131578947,0.368421053,0.210526316,0.526315789,0
Human_009.txt,172,0.04,0.06,0.25,0.416666667,0.208333333,0.1875,0.0625
Human_010.txt,121,0.0789473684211,0.0526315789474,0.257142857,0.485714286,0.285714286,0.0571428571429,0.0571428571429
Human_011.txt,110,0,0.0285714285714,0.235294118,0.382352941,0.411764706,0.117647059,0.0294117647059
Human_012.txt,177,0,0.0188679245283,0.235294118,0.37254902,0.333333333,0.176470588,0.0392156862745
Human_013.txt,172,0.0655737704918,0,0.285714286,0.214285714,0.303571429,0.232142857,0.0714285714286
Human_014.txt,180,0.0555555555556,0,0.254901961,0.352941176,0.392156863,0.176470588,0.0392156862745
Human_015.txt,161,0.142857143,0.0238095238095,0.275,0.225,0.275,0.1,0.025
Human_016.txt,169,0.0833333333333,0.0333333333333,0.228070175,0.175438596,0.473684211,0.263157895,0.0350877192982
Human_017.txt,108,0.0277777777778,0,0.352941176,0.205882353,0.441176471,0.117647059,0.0588235294118
Human_018.txt,174,0,0,0.422222222,0.555555556,0.355555556,0.0666666666667,0.0444444444444
Human_019.txt,181,0.0185185185185,0.037037037,0.307692308,0.384615385,0.25,0.307692308,0.0384615384615
Human_020.txt,127,0.0666666666667,0.0333333333333,0.310344828,0.448275862,0.24137931,0.172413793,0.0344827586207
Human_021.txt,181,0.0392156862745,0.078431373,0.34,0.68,0.4,0.16,0.02
Human_022.txt,162,0.0232558139535,0.0232558139535,0.209302326,0.418604651,0.279069767,0.0697674418605,0.093023256
Human_023.txt,164,0.0588235294118,0.0392156862745,0.382978723,0.29787234,0.446808511,0.063829787,0.0425531914894
Human_024.txt,137,0,0.0526315789474,0.27027027,0.459459459,0.162162162,0.108108108,0.027027027
Human_025.txt,167,0,0.0181818181818,0.469387755,0.346938776,0.408163265,0.102040816,0.0408163265306
Human_026.txt,155,0,0,0.431818182,0.431818182,0.363636364,0.0454545454545,0.0454545454545
Human_027.txt,188,0.0185185185185,0.0185185185185,0.307692308,0.365384615,0.423076923,0.115384615,0
Human_028.txt,168,0.1,0.04,0.288888889,0.488888889,0.2,0.177777778,0.0444444444444
Human_029.txt,182,0.0714285714286,0,0.375,0.475,0.15,0.275,0.1
Human_030.txt,161,0.0833333333333,0.0208333333333,0.212765957,0.446808511,0.468085106,0.276595745,0
Human_031.txt,146,0.0294117647059,0.0882352941176,0.352941176,0.794117647,0.235294118,0.176470588,0.0294117647059
Human_032.txt,170,0,0,0.355555556,0.555555556,0.266666667,0.133333333,0.0444444444444
Human_033.txt,168,0.08,0.06,0.270833333,0.458333333,0.375,0.25,0
Human_034.txt,202,0.0508474576271,0.0338983050847,0.315789474,0.473684211,0.157894737,0.175438596,0.0701754385965
Human_035.txt,197,0,0,0.464285714,0.375,0.375,0.0714285714286,0
Human_036.txt,201,0.0526315789474,0.0175438596491,0.444444444,0.240740741,0.296296296,0.259259259,0.0740740740741
Human_037.txt,219,0.185185185,0.0185185185185,0.288461538,0.230769231,0.307692308,0.134615385,0.0576923076923
Human_038.txt,165,0.0740740740741,0.0555555555556,0.32,0.16,0.4,0.2,0
Human_039.txt,177,0.0222222222222,0.0666666666667,0.204545455,0.386363636,0.295454545,0.295454545,0
Human_040.txt,168,0.0392156862745,0,0.145833333,0.395833333,0.354166667,0.104166667,0
Human_041.txt,211,0.189655172,0.0344827586207,0.280701754,0.333333333,0.122807018,0.0350877192982,0.0526315789474
Human_042.txt,203,0.0526315789474,0.0175438596491,0.192982456,0.438596491,0.263157895,0.210526316,0.0701754385965
Human_043.txt,161,0,0.0833333333333,0.319148936,0.340425532,0.276595745,0.255319149,0.0212765957447
Human_044.txt,193,0.0576923076923,0.0576923076923,0.428571429,0.244897959,0.326530612,0.204081633,0
Human_045.txt,152,0.0454545454545,0.0227272727273,0.340909091,0.272727273,0.454545455,0.409090909,0
Human_046.txt,205,0,0.0847457627119,0.237288136,0.389830508,0.338983051,0.338983051,0.0338983050847
Human_047.txt,311,0.1,0.025,0.246753247,0.324675325,0.350649351,0.246753247,0.038961039
Human_048.txt,189,0.0175438596491,0.105263158,0.240740741,0.37037037,0.203703704,0.277777778,0.037037037
Human_049.txt,175,0.0652173913043,0.0217391304348,0.292682927,0.536585366,0.390243902,0.195121951,0
Human_050.txt,158,0.06,0.04,0.354166667,0.416666667,0.4375,0.125,0.0208333333333
Human_051.txt,204,0,0.0535714285714,0.418181818,0.363636364,0.381818182,0.363636364,0
Human_052.txt,185,0.0545454545455,0.0181818181818,0.333333333,0.611111111,0.37037037,0.203703704,0.037037037
