Group,FilePath,FileName,WordCount
AI,/Users/fafaya/Desktop/语料处理+代码/废弃语料/TAASSC_Input_AI/AI_Applied_Linguistics_A_Longitudinal_Study_of_Advanced.txt,AI_Applied_Linguistics_A_Longitudinal_Study_of_Advanced.txt,182
AI,/Users/fafaya/Desktop/语料处理+代码/废弃语料/TAASSC_Input_AI/AI_Applied_Linguistics_A_Longitudinal_Study_of_Grammatical-Gender_Marking_in_French_as_an_Additional_Language.txt,AI_Applied_Linguistics_A_Longitudinal_Study_of_Grammatical-Gender_Marking_in_French_as_an_Additional_Language.txt,157
AI,/Users/fafaya/Desktop/语料处理+代码/废弃语料/TAASSC_Input_AI/AI_Applied_Linguistics_An_Organic_Syntactic_Complexity_Measure.txt,AI_Applied_Linguistics_An_Organic_Syntactic_Complexity_Measure.txt,175
AI,/Users/fafaya/Desktop/语料处理+代码/废弃语料/TAASSC_Input_AI/AI_Applied_Linguistics_Co-constructing_Social_Justice.txt,AI_Applied_Linguistics_Co-constructing_Social_Justice.txt,160
AI,/Users/fafaya/Desktop/语料处理+代码/废弃语料/TAASSC_Input_AI/AI_Applied_Linguistics_Critical_Race_Pedagogy_for_More_Effective_and_Inclusive_World_Language_Teaching.txt,AI_Applied_Linguistics_Critical_Race_Pedagogy_for_More_Effective_and_Inclusive_World_Language_Teaching.txt,160
AI,/Users/fafaya/Desktop/语料处理+代码/废弃语料/TAASSC_Input_AI/AI_Applied_Linguistics_Dynamic_Paths_of_Complexity_and_Accuracy_in_Second_Language_Speech.txt,AI_Applied_Linguistics_Dynamic_Paths_of_Complexity_and_Accuracy_in_Second_Language_Speech.txt,150
AI,/Users/fafaya/Desktop/语料处理+代码/废弃语料/TAASSC_Input_AI/AI_Applied_Linguistics_Dynamic_Paths_of_Complexity_and_Accuracy_in_Second_Language_Speech_A_Longitudinal_Case_Study_of_Chinese_Learners.txt,AI_Applied_Linguistics_Dynamic_Paths_of_Complexity_and_Accuracy_in_Second_Language_Speech_A_Longitudinal_Case_Study_of_Chinese_Learners.txt,157
AI,/Users/fafaya/Desktop/语料处理+代码/废弃语料/TAASSC_Input_AI/AI_Applied_Linguistics_Eliciting_and_Measuring_L2_Metaphoric_Competence.txt,AI_Applied_Linguistics_Eliciting_and_Measuring_L2_Metaphoric_Competence.txt,156
AI,/Users/fafaya/Desktop/语料处理+代码/废弃语料/TAASSC_Input_AI/AI_Applied_Linguistics_Emergence_of_Proactive_Self-Initiated_Self-Repair_as_an_Indicator_of_L2_IC_Development.txt,AI_Applied_Linguistics_Emergence_of_Proactive_Self-Initiated_Self-Repair_as_an_Indicator_of_L2_IC_Development.txt,167
AI,/Users/fafaya/Desktop/语料处理+代码/废弃语料/TAASSC_Input_AI/AI_Applied_Linguistics_I_Was_Surprised_to_See_You_in_a_Chinese_School.txt,AI_Applied_Linguistics_I_Was_Surprised_to_See_You_in_a_Chinese_School.txt,137
AI,/Users/fafaya/Desktop/语料处理+代码/废弃语料/TAASSC_Input_AI/AI_Applied_Linguistics_International_Publishing_as_A_Networked_Activity.txt,AI_Applied_Linguistics_International_Publishing_as_A_Networked_Activity.txt,151
AI,/Users/fafaya/Desktop/语料处理+代码/废弃语料/TAASSC_Input_AI/AI_Applied_Linguistics_Into_Collabs.txt,AI_Applied_Linguistics_Into_Collabs.txt,143
AI,/Users/fafaya/Desktop/语料处理+代码/废弃语料/TAASSC_Input_AI/AI_Applied_Linguistics_Juntos_Somos_Fuertes.txt,AI_Applied_Linguistics_Juntos_Somos_Fuertes.txt,130
AI,/Users/fafaya/Desktop/语料处理+代码/废弃语料/TAASSC_Input_AI/AI_Applied_Linguistics_Longitudinal_Growth_Trajectories_of_Written_Syntactic_Complexity_The_Case_of_Turkish_Learners_in_an_Intensive_English_Program.txt,AI_Applied_Linguistics_Longitudinal_Growth_Trajectories_of_Written_Syntactic_Complexity_The_Case_of_Turkish_Learners_in_an_Intensive_English_Program.txt,140
AI,/Users/fafaya/Desktop/语料处理+代码/废弃语料/TAASSC_Input_AI/AI_Applied_Linguistics_Making_Sense_of_the_Interpreter_Role.txt,AI_Applied_Linguistics_Making_Sense_of_the_Interpreter_Role.txt,169
AI,/Users/fafaya/Desktop/语料处理+代码/废弃语料/TAASSC_Input_AI/AI_Applied_Linguistics_Participation_in_a_Global_Hearing_Culture.txt,AI_Applied_Linguistics_Participation_in_a_Global_Hearing_Culture.txt,157
AI,/Users/fafaya/Desktop/语料处理+代码/废弃语料/TAASSC_Input_AI/AI_Applied_Linguistics_Police_Call-takers_First_Substantive_Question_Projects_the_Outcome_of_the_Call.txt,AI_Applied_Linguistics_Police_Call-takers_First_Substantive_Question_Projects_the_Outcome_of_the_Call.txt,120
AI,/Users/fafaya/Desktop/语料处理+代码/废弃语料/TAASSC_Input_AI/AI_Applied_Linguistics_Pursuing_Testimonial_Justice.txt,AI_Applied_Linguistics_Pursuing_Testimonial_Justice.txt,140
