filename,nwords,poss_all_nominal_deps_struct,vmod_all_nominal_deps_struct,det_all_nominal_deps_NN_struct,amod_all_nominal_deps_NN_struct,prep_all_nominal_deps_NN_struct,nn_all_nominal_deps_NN_struct,rcmod_all_nominal_deps_NN_struct
AI_001.txt,182,0.0181818181818,0.0545454545455,0.2,0.436363636,0.218181818,0.236363636,0.0363636363636
AI_002.txt,151,0,0.0444444444444,0.227272727,0.568181818,0.25,0.113636364,0
AI_003.txt,173,0,0.0384615384615,0.274509804,0.607843137,0.31372549,0.196078431,0.0196078431373
AI_004.txt,158,0.0196078431373,0.0392156862745,0.26,0.44,0.32,0.16,0.02
AI_005.txt,159,0.0172413793103,0.0172413793103,0.160714286,0.303571429,0.285714286,0.232142857,0.0535714285714
AI_006.txt,146,0.0222222222222,0.133333333,0.166666667,0.5,0.166666667,0.214285714,0.0238095238095
AI_007.txt,151,0,0,0.234042553,0.531914894,0.446808511,0.212765957,0.0212765957447
AI_008.txt,151,0.0208333333333,0,0.195652174,0.543478261,0.369565217,0.173913043,0.0217391304348
AI_009.txt,157,0.0212765957447,0.0212765957447,0.239130435,0.347826087,0.239130435,0.195652174,0.0217391304348
AI_010.txt,151,0.0204081632653,0.0408163265306,0.173913043,0.630434783,0.413043478,0.152173913,0.0217391304348
AI_011.txt,141,0,0.0222222222222,0.272727273,0.431818182,0.409090909,0.136363636,0
AI_012.txt,142,0,0.0666666666667,0.266666667,0.488888889,0.333333333,0.244444444,0
AI_013.txt,169,0.0892857142857,0.0357142857143,0.145454545,0.363636364,0.418181818,0.327272727,0
AI_014.txt,155,0.0212765957447,0.0212765957447,0.217391304,0.565217391,0.304347826,0.239130435,0.0434782608696
AI_015.txt,114,0,0.0277777777778,0.2,0.371428571,0.171428571,0.2,0
AI_016.txt,137,0.0487804878049,0.0731707317073,0.195121951,0.43902439,0.243902439,0.317073171,0.0243902439024
AI_017.txt,124,0.05,0.05,0.256410256,0.538461538,0.333333333,0.102564103,0.0769230769231
AI_018.txt,113,0,0.0512820512821,0.210526316,0.421052632,0.289473684,0.131578947,0
AI_019.txt,134,0.0227272727273,0,0.181818182,0.431818182,0.386363636,0.25,0.0454545454545
AI_020.txt,126,0,0.0285714285714,0.382352941,0.5,0.235294118,0.117647059,0.0294117647059
AI_021.txt,127,0,0,0.205128205,0.461538462,0.230769231,0.102564103,0
AI_022.txt,157,0.0384615384615,0,0.28,0.42,0.4,0.02,0.06
AI_023.txt,123,0.0277777777778,0,0.305555556,0.555555556,0.305555556,0.0833333333333,0.0833333333333
AI_024.txt,134,0.0666666666667,0.0222222222222,0.186046512,0.534883721,0.279069767,0.046511628,0.0697674418605
AI_025.txt,131,0.0454545454545,0.0681818181818,0.209302326,0.395348837,0.23255814,0.23255814,0.0232558139535
AI_026.txt,133,0,0,0.238095238,0.404761905,0.238095238,0.0714285714286,0
AI_027.txt,139,0,0.0243902439024,0.25,0.45,0.275,0.05,0
